;pred;obs;;pred;;obs
1744;0,069432817;0,075053299;;48674,0553;;51400,00012
2852;0,104209095;0,075671853;;65540,61961;;51700,00005
1460;0,073441729;0,075878038;;50618,38542;;51800,00019
2130;0,063624084;0,076084222;;45856,80799;;51899,99984
1099;0,101879351;0,076908961;;64410,68892;;52299,9999
2374;0,10389889;0,076908961;;65390,1696;;52299,9999
1521;0,073433489;0,077527515;;50614,38884;;52599,99983
2278;0,168864921;0,077527515;;96898,82429;;52599,99983
1703;0,049884025;0,078558439;;39192,8519;;53100,00003
2384;0,093070924;0,078764624;;60138,58442;;53200,00017
1861;0,066887937;0,079176993;;47439,78346;;53399,99996
2239;0,096162871;0,079176993;;61638,18453;;53399,99996
637;0,117663145;0,079383178;;72065,86068;;53500,0001
1284;0,130210981;0,079589363;;78151,5861;;53600,00023
239;0,138712838;0,080001732;;82275,004;;53800,00002
354;0,099033684;0,080001732;;63030,53458;;53800,00002
1961;0,139156923;0,080001732;;82490,38582;;53800,00002
624;0,083902299;0,080826471;;55691,78302;;54200,00009
367;0,059713572;0,081032656;;43960,20198;;54300,00023
899;0,0705439;0,08123884;;49212,93265;;54399,99988
947;0,10815119;0,08123884;;67452,54344;;54399,99988
2935;0,136958137;0,08165121;;81423,97044;;54600,00015
1086;0,099381663;0,082063579;;63199,30527;;54799,99994
2138;0,141412333;0,082269764;;83584,26416;;54900,00008
50;0,166414157;0,082475949;;95710,19876;;55000,00022
1100;0,14366509;0,082475949;;84676,85608;;55000,00022
2804;0,111870848;0,082475949;;69256,58485;;55000,00022
1827;0,119206078;0,082682133;;72814,18641;;55099,99987
2958;0,157379076;0,082682133;;91328,16656;;55099,99987
2404;0,143499151;0,083094503;;84596,37517;;55300,00014
873;0,103731953;0,083300687;;65309,20448;;55399,9998
2912;0,10237322;0,083300687;;64650,21646;;55399,9998
2799;0,130458906;0,083506872;;78271,83047;;55499,99993
3010;0,09597335;0,083713057;;61546,26675;;55600,00007
1405;0,177861348;0,083919242;;101262,1094;;55700,00021
3094;0,179531962;0,083919242;;102072,3605;;55700,00021
351;0,10080114;0,084125426;;63887,75454;;55799,99986
1666;0,114337571;0,084125426;;70452,95059;;55799,99986
1756;0,060373228;0,085568719;;44280,13635;;56499,99985
1783;0,120724551;0,085981089;;73550,64887;;56700,00013
2306;0,175880909;0,085981089;;100301,5926;;56700,00013
3217;0,095505841;0,086187273;;61319,52393;;56799,99978
1919;0,104162276;0,086393458;;65517,91208;;56899,99992
333;0,110385053;0,086599643;;68535,97141;;57000,00005
632;0,115056932;0,086805828;;70801,84212;;57100,00019
299;0,109323062;0,087630566;;68020,90372;;57499,99977
392;0,185584694;0,087630566;;105007,9478;;57499,99977
752;0,122645125;0,087630566;;74482,13081;;57499,99977
909;0,118994758;0,087630566;;72711,69539;;57499,99977
2396;0,090659946;0,087836751;;58969,25523;;57599,99991
2312;0,069978453;0,088455305;;48938,68977;;57899,99984
3215;0,130807385;0,088455305;;78440,84327;;57899,99984
686;0,166739851;0,08866149;;95868,16133;;57999,99997
1238;0,121846743;0,08866149;;74094,91401;;57999,99997
2292;0,13400273;0,08866149;;79990,59218;;57999,99997
2564;0,132001072;0,08866149;;79019,784;;57999,99997
2584;0,10594584;0,08866149;;66382,94452;;57999,99997
2855;0,15134722;0,08866149;;88402,70437;;57999,99997
2354;0,082400136;0,089073859;;54963,23061;;58199,99976
167;0,092590861;0,089486229;;59905,75278;;58400,00004
546;0,156779602;0,089486229;;91037,42061;;58400,00004
742;0,099082798;0,089486229;;63054,35508;;58400,00004
803;0,051155549;0,089898598;;39809,54335;;58599,99983
1637;0,091580972;0,089898598;;59415,95462;;58599,99983
3219;0,12107455;0,090104783;;73720,39883;;58699,99996
2344;0,135498568;0,090310968;;80716,07668;;58800,0001
3232;0,111660056;0,090310968;;69154,35039;;58800,0001
3298;0,100183353;0,090723337;;63588,12649;;58999,99989
1220;0,085504882;0,090929522;;56469,0388;;59100,00003
1623;0,091734886;0,091135707;;59490,60326;;59200,00017
2875;0,126016319;0,091135707;;76117,16665;;59200,00017
65;0,092651054;0,091341891;;59934,94662;;59299,99982
1191;0,095988527;0,091341891;;61553,62754;;59299,99982
521;0,087387644;0,091754261;;57382,182;;59500,00009
2830;0,114993148;0,091754261;;70770,90655;;59500,00009
627;0,093187191;0,092372815;;60194,97381;;59800,00002
639;0,114004143;0,092372815;;70291,23716;;59800,00002
453;0,233387306;0,092785184;;128192,3103;;59999,99981
861;0,130751923;0,092785184;;78413,94403;;59999,99981
2383;0,103524886;0,092785184;;65208,77679;;59999,99981
2414;0,100874946;0,092785184;;63923,55033;;59999,99981
404;0,048843842;0,093609923;;38688,36106;;60399,99987
565;0,183460221;0,093609923;;103977,574;;60399,99987
3197;0,156893298;0,094022293;;91092,56333;;60600,00015
2493;0,117882475;0,094434662;;72172,23626;;60799,99994
2840;0,065108739;0,094434662;;46576,86855;;60799,99994
2330;0,146139294;0,094640847;;85876,84982;;60900,00008
2930;0,14340125;0,095259401;;84548,89317;;61200
2979;0,104594402;0,09567177;;65727,49417;;61399,99979
3013;0,156880811;0,095877955;;91086,50703;;61499,99993
1999;0,069470227;0,09608414;;48692,19892;;61600,00007
1370;0,155184537;0,096908879;;90263,8109;;62000,00013
977;0,106803536;0,097115063;;66798,92877;;62099,99979
1846;0,146858767;0,097527433;;86225,79555;;62300,00006
1692;0,086792178;0,098145987;;57093,38013;;62599,99999
1208;0,083263487;0,098558356;;55381,95754;;62799,99978
2274;0,150831655;0,098558356;;88152,65418;;62799,99978
1386;0,138001233;0,098970726;;81929,87417;;63000,00005
548;0,14727363;0,099383095;;86427,00505;;63199,99984
1076;0,139814898;0,09958928;;82809,50534;;63299,99998
2288;0,114528008;0,09958928;;70545,31284;;63299,99998
2009;0,155612111;0,099795465;;90471,1851;;63400,00012
1632;0,101115182;0,100001649;;64040,06552;;63499,99977
2265;0,142919749;0,100001649;;84315,36411;;63499,99977
1693;0,168232694;0,100207834;;96592,19319;;63599,99991
739;0,147611991;0,100826388;;86591,11065;;63899,99983
2435;0,167724267;0,101032573;;96345,60477;;63999,99997
1691;0,140847638;0,101857312;;83310,38625;;64400,00003
3320;0,10410209;0,102063497;;65488,72185;;64500,00017
248;0,127529487;0,102682051;;76851,05626;;64800,0001
2733;0,121330835;0,102888236;;73844,6976;;64900,00024
799;0,183668315;0,10309442;;104078,5003;;64999,99989
1563;0,184431687;0,10309442;;104448,7371;;64999,99989
558;0,099735178;0,103919159;;63370,76083;;65399,99995
3123;0,175328448;0,103919159;;100033,6481;;65399,99995
3180;0,0966492;0,103919159;;61874,05516;;65399,99995
3275;0,162826419;0,103919159;;93970,13881;;65399,99995
152;0,071891598;0,104125344;;49866,56901;;65500,00009
1785;0,175335065;0,104125344;;100036,857;;65500,00009
329;0,131460369;0,104331529;;78757,54171;;65600,00023
2390;0,117530532;0,104331529;;72001,54317;;65600,00023
137;0,064995833;0,104743898;;46522,10887;;65800,00002
519;0,088616587;0,104743898;;57978,22204;;65800,00002
2518;0,15016003;0,104743898;;87826,91464;;65800,00002
2619;0,117763378;0,104743898;;72114,47372;;65800,00002
3331;0,118595026;0,104743898;;72517,82501;;65800,00002
1873;0,089411423;0,105156267;;58363,71879;;65999,99981
2791;0,078831755;0,105362452;;53232,55866;;66099,99994
2125;0,086811341;0,106393376;;57102,67418;;66600,00015
783;0,163296118;0,106805745;;94197,94401;;66799,99994
2047;0,152781889;0,106805745;;89098,52165;;66799,99994
2640;0,141823009;0,10701193;;83783,44284;;66900,00007
2819;0,151459217;0,10701193;;88457,0232;;66900,00007
715;0,129886329;0,107218115;;77994,12942;;67000,00021
822;0,447806448;0,108249038;;232186,0228;;67499,99993
1106;0,502178311;0,108249038;;258556,4854;;67499,99993
1524;0,232999757;0,108249038;;128004,3481;;67499,99993
1741;0,132921979;0,108249038;;79466,42558;;67499,99993
2032;0,247091442;0,108249038;;134838,8437;;67499,99993
2036;0,094009042;0,108249038;;60593,57328;;67499,99993
2325;0,153105766;0,108249038;;89255,60252;;67499,99993
2580;0,091792069;0,108661408;;59518,33723;;67700,0002
98;0,082554899;0,108867592;;55038,2912;;67799,99986
974;0,107957847;0,109073777;;67358,77191;;67899,99999
3065;0,191323176;0,109073777;;107791,123;;67899,99999
1365;0,123260312;0,109486146;;74780,49774;;68099,99978
690;0,118124858;0,109692331;;72289,79216;;68199,99992
1168;0,283737689;0,109692331;;152612,3468;;68199,99992
2744;0,13355647;0,109692331;;79774,1552;;68199,99992
1217;0,100902803;0,109898516;;63937,06138;;68300,00006
3119;0,16601257;0,109898516;;95515,4286;;68300,00006
511;0,115460269;0,110104701;;70997,46146;;68400,00019
879;0,132247284;0,110310885;;79139,19726;;68499,99985
501;0,169648573;0,110929439;;97278,89711;;68799,99977
1044;0,078334883;0,111135624;;52991,57485;;68899,99991
2256;0,105114236;0,111135624;;65979,61492;;68899,99991
2856;0,153144792;0,111135624;;89274,53027;;68899,99991
597;0,16907081;0,111341809;;96998,68103;;69000,00005
1213;0,147862241;0,111341809;;86712,48245;;69000,00005
3171;0,14300482;0,111341809;;84356,62359;;69000,00005
2090;0,072956659;0,111547994;;50383,12548;;69100,00019
124;0,133077413;0,111960363;;79541,81138;;69299,99998
268;0,129349887;0,111960363;;77733,95407;;69299,99998
1571;0,139912009;0,112166548;;82856,60431;;69400,00011
1610;0,12958011;0,112166548;;77845,61266;;69400,00011
2302;0,1302443;0,112166548;;78167,74588;;69400,00011
678;0,124349803;0,112578917;;75308,90302;;69599,9999
1262;0,095678441;0,112578917;;61403,23535;;69599,9999
1345;0,124791764;0,112578917;;75523,25499;;69599,9999
688;0,142049611;0,112785102;;83893,34525;;69700,00004
564;0,200482085;0,112991287;;112233,2124;;69800,00018
617;0,216913044;0,112991287;;120202,2604;;69800,00018
2656;0,310082376;0,112991287;;165389,5725;;69800,00018
2927;0,120084062;0,113197471;;73240,01034;;69899,99983
2948;0,12817657;0,113197471;;77164,89277;;69899,99983
1290;0,185679406;0,113403656;;105053,8832;;69999,99997
609;0,114733681;0,113816026;;70645,06479;;70200,00024
1267;0,147541031;0,11402221;;86556,69523;;70299,99989
3174;0,13350682;0,114228395;;79750,07452;;70400,00003
195;0,110869654;0,11443458;;68771,0037;;70500,00017
1620;0,116741493;0,11443458;;71618,85775;;70500,00017
1413;0,11535605;0,114846949;;70946,91517;;70699,99996
1360;0,089324966;0,115259319;;58321,7872;;70900,00023
719;0,106863186;0,115465503;;66827,85882;;70999,99989
2901;0,088045783;0,116084057;;57701,38101;;71299,99981
789;0,120334446;0,116290242;;73361,44719;;71399,99995
843;0,140513286;0,116290242;;83148,22473;;71399,99995
1169;0,156480089;0,116496427;;90892,15604;;71500,00009
1286;0,176764622;0,116496427;;100730,1954;;71500,00009
1005;0,164681107;0,117114981;;94869,66616;;71800,00001
3216;0,358942389;0,117114981;;189086,7768;;71800,00001
3237;0,236186355;0,11752735;;129549,8547;;71999,9998
1729;0,168887541;0,117733535;;96909,79501;;72099,99994
62;0,155240744;0,11793972;;90291,07149;;72200,00008
315;0,147058845;0,11793972;;86322,83373;;72200,00008
504;0,165496022;0,11793972;;95264,90142;;72200,00008
2018;0,134321168;0,118145905;;80145,03515;;72300,00022
1152;0,166679651;0,118352089;;95838,96387;;72399,99987
1940;0,131385192;0,118352089;;78721,08102;;72399,99987
1771;0,099156328;0,118558274;;63090,01717;;72500,00001
2203;0,163581491;0,118558274;;94336,35006;;72500,00001
190;0,091279648;0,118970643;;59269,81196;;72699,9998
2024;0,144011125;0,118970643;;84844,68363;;72699,9998
174;0,166244164;0,119176828;;95627,75208;;72799,99993
295;0,152400896;0,119176828;;88913,73934;;72799,99993
1006;0,162324727;0,119383013;;93726,81704;;72900,00007
2342;0,114802092;0,119383013;;70678,24438;;72900,00007
2789;0,158111185;0,119383013;;91683,24087;;72900,00007
723;0,150399819;0,119589198;;87943,21302;;73000,00021
3387;0,09094575;0,119589198;;59107,87087;;73000,00021
75;0,184374094;0,120001567;;104420,8043;;73200
416;0,122610077;0,120001567;;74465,13269;;73200
1655;0,129710153;0,120001567;;77908,6835;;73200
2702;0,128157929;0,120207752;;77155,85168;;73300,00014
2726;0,187288672;0,120620121;;105834,3804;;73499,99993
3243;0,153120235;0,121238675;;89262,62003;;73799,99985
3294;0,175148025;0,121238675;;99946,1425;;73799,99985
1315;0,535026193;0,121857229;;274487,7735;;74099,99978
2258;0,125284433;0,122269599;;75762,20075;;74300,00005
3329;0,165217638;0,122269599;;95129,88487;;74300,00005
685;0,113764986;0,122475784;;70175,24593;;74400,00019
2880;0,101565555;0,122681968;;64258,49718;;74499,99984
2941;0,125382856;0,122681968;;75809,9357;;74499,99984
143;0,16039674;0,122888153;;92791,73962;;74599,99998
959;0,198899522;0,122888153;;111465,6662;;74599,99998
3308;0,118298925;0,122888153;;72374,21545;;74599,99998
126;0,309170961;0,123712892;;164947,5346;;75000,00005
495;0,278207004;0,123712892;;149929,9534;;75000,00005
1268;0,116959684;0,123712892;;71724,68046;;75000,00005
1458;0,160023153;0,123712892;;92610,54917;;75000,00005
1486;0,349391043;0,123712892;;184454,3547;;75000,00005
2364;0,162721336;0,123712892;;93919,17335;;75000,00005
492;0,143028244;0,123919077;;84367,98458;;75100,00018
434;0,12238384;0,124331446;;74355,40735;;75299,99997
1555;0,14506337;0,124331446;;85355,0248;;75299,99997
2472;0,123460956;0,124743815;;74877,81054;;75499,99976
1378;0,14216198;0,12495;;83947,84476;;75599,9999
2632;0,149522826;0,12495;;87517,86969;;75599,9999
2010;0,095428258;0,12536237;;61281,89607;;75800,00017
2561;0,117831163;0,12536237;;72147,34977;;75800,00017
1696;0,142078966;0,125774739;;83907,58262;;75999,99996
2663;0,107233576;0,126187109;;67007,49906;;76200,00024
827;0,105811551;0,126599478;;66317,81396;;76400,00003
3198;0,115395084;0,126599478;;70965,84654;;76400,00003
462;0,218006447;0,127011847;;120732,5628;;76599,99982
3041;0,077171691;0,127011847;;52427,42436;;76599,99982
3251;0,224475041;0,127630402;;123869,8439;;76900,00023
1813;0,097552605;0,128042771;;62312,20852;;77100,00002
1982;0,18111068;0,128042771;;102838,0421;;77100,00002
3121;0,182228684;0,128042771;;103380,2764;;77100,00002
2550;0,156457439;0,128248956;;90881,17086;;77200,00016
2511;0,173257813;0,12845514;;99029,38575;;77299,99981
1722;0,225756153;0,128661325;;124491,1859;;77399,99995
2016;0,114243351;0,12886751;;70407,25368;;77500,00009
1916;0,118149899;0,130310803;;72301,93729;;78200,00008
2283;0,137112424;0,130516988;;81498,79976;;78300,00021
2425;0,188858688;0,130929357;;106595,8413;;78500
846;0,254574925;0,131341726;;138468,3476;;78699,99979
1258;0,127770558;0,131341726;;76967,97617;;78699,99979
2689;0,17359589;0,131547911;;99193,35404;;78799,99993
2766;0,142491147;0,131547911;;84107,49124;;78799,99993
1436;0,153736919;0,131754096;;89561,71327;;78900,00007
1239;0,200155839;0,131960281;;112074,9824;;79000,00021
2963;0,139293104;0,131960281;;82556,43423;;79000,00021
2019;0,168388888;0,132166465;;96667,94757;;79099,99986
1063;0,106439717;0,13237265;;66622,47568;;79200
3234;0,133647159;0,13237265;;79818,13928;;79200
3157;0,235215858;0,133403574;;129079,1614;;79700,0002
1767;0,089119829;0,133609758;;58222,29542;;79799,99985
2318;0,198592901;0,133609758;;111316,9543;;79799,99985
2400;0,124824576;0,133815943;;75539,16905;;79899,99999
1291;0,165711209;0,134022128;;95369,26787;;80000,00012
1770;0,179914296;0,134022128;;102257,7932;;80000,00012
785;0,174115852;0,134846867;;99445,53622;;80400,00019
1591;0,162796512;0,134846867;;93955,63403;;80400,00019
2552;0,140913248;0,135053051;;83342,20714;;80499,99984
199;0,16658628;0,135259236;;95793,67891;;80599,99998
1927;0,20967111;0,135465421;;116689,9077;;80700,00012
1357;0,195961356;0,135671605;;110040,6497;;80799,99977
1059;0,124217525;0,136083975;;75244,74812;;81000,00004
134;0,121839546;0,13629016;;74091,42333;;81100,00018
712;0,495469689;0,13629016;;255302,7903;;81100,00018
1737;0,13176316;0,13629016;;78904,39624;;81100,00018
951;0,153197169;0,136702529;;89299,93351;;81299,99997
1423;0,156866431;0,136702529;;91079,53288;;81299,99997
1584;0,25533703;0,136702529;;138837,9701;;81299,99997
3296;0,140128538;0,136702529;;82961,62119;;81299,99997
2315;0,155792698;0,137114898;;90558,77024;;81499,99976
764;0,150153518;0,137321083;;87823,7564;;81599,9999
828;0,195274383;0,137527268;;109707,4662;;81700,00003
26;0,191958383;0,137733453;;108099,1995;;81800,00017
1353;0,133726895;0,137733453;;79856,81146;;81800,00017
2559;0,126655623;0,137733453;;76427,23062;;81800,00017
1121;0,142845646;0,138145822;;84279,42378;;81999,99996
2776;0,187225759;0,138352007;;105803,8676;;82100,0001
1302;0,128910497;0,138764376;;77520,84878;;82299,99989
3231;0,137619033;0,138970561;;81744,50646;;82400,00003
743;0,289242268;0,139176746;;155282,0783;;82500,00016
2528;0,097341493;0,1397953;;62209,81868;;82800,00009
1401;0,253735393;0,140207669;;138061,1732;;82999,99988
3148;0,177164868;0,140207669;;100924,3151;;82999,99988
1218;0,385598779;0,140413854;;202015,1789;;83100,00002
1409;0,176729456;0,140826223;;100713,1394;;83299,99981
2976;0,090943225;0,140826223;;59106,64588;;83299,99981
677;0,152519435;0,141032408;;88971,23086;;83399,99994
2737;0,161821693;0,141032408;;93482,84484;;83399,99994
3351;0,296578944;0,141238593;;158840,3809;;83500,00008
320;0,172642395;0,141444778;;98730,90681;;83600,00022
1240;0,107539266;0,141444778;;67155,75926;;83600,00022
813;0,178242505;0,141650962;;101446,9712;;83699,99987
938;0,126454324;0,141650962;;76329,59982;;83699,99987
1462;0,133004814;0,141857147;;79506,60099;;83800,00001
3299;0,171326876;0,141857147;;98092,87736;;83800,00001
92;0,172037661;0,142063332;;98437,6097;;83900,00015
118;0,136511341;0,142063332;;81207,27328;;83900,00015
1511;0,196962893;0,142269516;;110526,397;;83999,9998
2712;0,155145526;0,142681886;;90244,89037;;84200,00007
2074;0,167064473;0,143094255;;96025,60355;;84399,99986
1660;0,136611924;0,14330044;;81256,05616;;84500
2476;0,178800255;0,14330044;;101717,4813;;84500
2748;0,116792493;0,14330044;;71643,59248;;84500
107;0,118624441;0,143506625;;72532,09129;;84600,00014
436;0,15439561;0,143712809;;89881,17969;;84699,99979
1481;0,057903208;0,143712809;;43082,17161;;84699,99979
2664;0,144061521;0,143712809;;84869,12566;;84699,99979
3034;0,249166936;0,143712809;;135845,4621;;84699,99979
3222;0,141639024;0,143712809;;83694,20993;;84699,99979
2947;0,221801877;0,143918994;;122573,354;;84799,99993
2208;0,112068936;0,144537548;;69352,65821;;85099,99986
340;0,146262273;0,145156102;;85936,49502;;85399,99978
628;0,162221581;0,145156102;;93676,7911;;85399,99978
1979;0,212374285;0,145568472;;118000,9529;;85600,00006
750;0,232557967;0,145774657;;127790,0793;;85700,00019
1205;0,128615215;0,145774657;;77377,63671;;85700,00019
2499;0,182998374;0,146187026;;103753,5774;;85899,99998
1000;0,194525793;0,147011765;;109344,3988;;86300,00005
1021;0,131882668;0,147011765;;78962,35752;;86300,00005
1900;0,055966217;0,147011765;;42142,72721;;86300,00005
1125;0,160211235;0,14721795;;92701,76954;;86400,00019
530;0,169949636;0,147424134;;97424,91329;;86499,99984
2614;0,278797984;0,147424134;;150216,5799;;86499,99984
3303;0,142611384;0,147424134;;84165,80665;;86499,99984
1762;0,221494049;0,147836504;;122424,0567;;86700,00011
523;0,173590079;0,148042688;;99190,53547;;86799,99977
1412;0,183362603;0,148248873;;103930,2293;;86899,9999
978;0,142388403;0,148455058;;84057,66043;;87000,00004
1373;0,172945142;0,148455058;;98877,73966;;87000,00004
1912;0,182131067;0,148455058;;103332,9317;;87000,00004
649;0,186139777;0,148661243;;105277,1643;;87100,00018
1146;0,146704271;0,149073612;;86150,86505;;87299,99997
202;0,224880561;0,149279797;;124066,522;;87400,0001
95;0,221093804;0,149485982;;122229,937;;87500,00024
112;0,125272408;0,149485982;;75756,36849;;87500,00024
292;0,442283958;0,149485982;;229507,6043;;87500,00024
461;0,109125473;0,149485982;;67925,07246;;87500,00024
671;0,560705364;0,149485982;;286942,2228;;87500,00024
819;0,245118096;0,149485982;;133881,767;;87500,00024
1133;0,267319262;0,149485982;;144649,3767;;87500,00024
1663;0,202816546;0,149485982;;113365,4304;;87500,00024
1758;0,252162874;0,149485982;;137298,4981;;87500,00024
1993;0,224685445;0,149485982;;123971,8904;;87500,00024
2220;0,475197196;0,149485982;;245470,5905;;87500,00024
2872;0,157161996;0,149485982;;91222,88227;;87500,00024
73;0,217237681;0,150104536;;120359,7098;;87800,00017
1122;0,197546259;0,150104536;;110809,3305;;87800,00017
2477;0,180982232;0,150104536;;102775,7445;;87800,00017
1962;0,211605445;0,15031072;;117628,0638;;87899,99982
1306;0,155040741;0,15072309;;90194,06945;;88100,0001
1534;0,169554412;0,15072309;;97233,22911;;88100,0001
2287;0,227610394;0,150929275;;125390,4965;;88200,00023
1500;0,133880049;0,151135459;;79931,09152;;88299,99989
2602;0,18347694;0,151135459;;103985,6828;;88299,99989
3277;0,154967293;0,151135459;;90158,44711;;88299,99989
1822;0,242846489;0,151341644;;132780,0328;;88400,00002
2988;0,173955679;0,151341644;;99367,8522;;88400,00002
2993;0,086138472;0,151547829;;56776,33118;;88500,00016
318;0,185590252;0,151754013;;105010,6435;;88599,99981
119;0,125519037;0,151960198;;75875,9841;;88699,99995
1190;0,198095083;0,152166383;;111075,5116;;88800,00009
1377;0,249009788;0,152166383;;135769,2452;;88800,00009
1383;0,147978947;0,152166383;;86769,08504;;88800,00009
2238;0,241523638;0,152166383;;132138,4477;;88800,00009
3055;0,208098993;0,152372568;;115927,4277;;88900,00023
2669;0,154532567;0,152784937;;89947,6039;;89100,00001
2401;0,224740207;0,153403491;;123998,45;;89399,99994
569;0,217571124;0,153609676;;120521,4305;;89500,00008
823;0,121053547;0,153609676;;73710,21224;;89500,00008
1902;0,188545138;0,153815861;;106443,7688;;89600,00022
3029;0,1486395;0,153815861;;87089,45485;;89600,00022
923;0,181771785;0,154434415;;103158,6793;;89900,00014
559;0,23890844;0,154846784;;130870,0712;;90099,99993
1910;0,092483908;0,154846784;;59853,88032;;90099,99993
2221;0,23165445;0,155259154;;127351,8717;;90300,00021
608;0,1968088;0,155465338;;110451,6617;;90399,99986
650;0,248882994;0,155465338;;135707,7499;;90399,99986
1043;0,217959478;0,155465338;;120709,783;;90399,99986
163;0,232768223;0,155671523;;127892,0535;;90500
465;0,153523028;0,155671523;;89457,97558;;90500
2088;0,191676736;0,155671523;;107962,6003;;90500
2891;0,172693074;0,155671523;;98755,48615;;90500
2966;0,267162204;0,155671523;;144573,2032;;90500
3267;0,229399383;0,155671523;;126258,1596;;90500
401;0,624512136;0,155877708;;317888,635;;90600,00014
1573;0,236871853;0,155877708;;129882,3227;;90600,00014
1857;0,150528252;0,155877708;;88005,50334;;90600,00014
2764;0,252394646;0,155877708;;137410,9083;;90600,00014
2025;0,189953312;0,156083892;;107126,7364;;90699,99979
1114;0,348939419;0,156290077;;184235,316;;90799,99993
1769;0,231107131;0,156702447;;127086,4206;;91000,0002
489;0,304295212;0,156908631;;162582,7864;;91099,99985
3105;0,222484455;0,157321001;;122904,4054;;91300,00013
945;0,163295865;0,15773337;;94197,82115;;91499,99992
817;0,145105541;0,15814574;;85375,47748;;91700,00019
177;0,139968142;0,158351924;;82883,82876;;91799,99984
173;0,263382196;0,158558109;;142739,892;;91899,99998
466;0,164491355;0,158558109;;94777,63636;;91899,99998
2316;0,199504256;0,158764294;;111758,9633;;92000,00012
347;0,209968671;0,159176663;;116834,2255;;92199,99991
1715;0,108917691;0,159176663;;67824,29788;;92199,99991
41;0,210156754;0,159382848;;116925,4458;;92300,00005
1307;0,259637326;0,159382848;;140923,6224;;92300,00005
835;0,33552742;0,159589033;;177730,4698;;92400,00018
993;0,168969482;0,159589033;;96949,5368;;92400,00018
2968;0,181207106;0,159589033;;102884,8086;;92400,00018
1447;0,237002313;0,159795217;;129945,5959;;92499,99984
31;0,20608142;0,160001402;;114948,901;;92599,99997
427;0,179777503;0,160001402;;102191,4485;;92599,99997
866;0,141929537;0,160001402;;83835,10933;;92599,99997
1047;0,236769915;0,160001402;;129832,8821;;92599,99997
2631;0,216914818;0,160001402;;120203,1204;;92599,99997
301;0,137237325;0,160207587;;81559,37725;;92700,00011
1048;0,128759846;0,160207587;;77447,78287;;92700,00011
1382;0,157298982;0,160207587;;91289,32094;;92700,00011
1843;0,201951906;0,160207587;;112946,0784;;92700,00011
197;0,206349373;0,160413771;;115078,8585;;92799,99976
1108;0,173445255;0,160413771;;99120,29535;;92799,99976
2573;0,117881432;0,160413771;;72171,73037;;92799,99976
3035;0,202327654;0,160413771;;113128,3167;;92799,99976
1431;0,179585069;0,160619956;;102098,1178;;92899,9999
2598;0,223457307;0,160619956;;123376,2406;;92899,9999
1241;0,223905027;0,160826141;;123593,3859;;93000,00004
2165;0,242407411;0,160826141;;132567,0793;;93000,00004
2548;0,236234009;0,160826141;;129572,967;;93000,00004
